id_daerah_magang,nama_daerah,jenis_daerah,id_provinsi
1,Banda Aceh,Kota,1
2,Langsa,Kota,1
3,Lhokseumawe,Kota,1
4,Sabang,Kota,1
5,Subulussalam,Kota,1
6,Aceh Barat,Kabupaten,1
7,Aceh Barat Daya,Kabupaten,1
8,Aceh Besar,Kabupaten,1
9,Aceh Jaya,Kabupaten,1
10,Aceh Selatan,Kabupaten,1
11,Aceh Singkil,Kabupaten,1
12,Aceh Tamiang,Kabupaten,1
13,Aceh Tengah,Kabupaten,1
14,Aceh Tenggara,Kabupaten,1
15,Aceh Timur,Kabupaten,1
16,Aceh Utara,Kabupaten,1
17,Bener Meriah,Kabupaten,1
18,Bireuen,Kabupaten,1
19,Gayo Lues,Kabupaten,1
20,Nagan Raya,Kabupaten,1
21,Pidie,Kabupaten,1
22,Pidie Jaya,Kabupaten,1
23,Simeulue,Kabupaten,1
24,Medan,Kota,2
25,Binjai,Kota,2
26,Gunungsitoli,Kota,2
27,Padang Sidempuan,Kota,2
28,Pematangsiantar,Kota,2
29,Sibolga,Kota,2
30,Tanjungbalai,Kota,2
31,Tebing Tinggi,Kota,2
32,Asahan,Kabupaten,2
33,Batubara,Kabupaten,2
34,Dairi,Kabupaten,2
35,Deli Serdang,Kabupaten,2
36,Humbang Hasundutan,Kabupaten,2
37,Karo,Kabupaten,2
38,Labuhanbatu,Kabupaten,2
39,Labuhanbatu Selatan,Kabupaten,2
40,Labuhanbatu Utara,Kabupaten,2
41,Langkat,Kabupaten,2
42,Mandailing Natal,Kabupaten,2
43,Nias,Kabupaten,2
44,Nias Barat,Kabupaten,2
45,Nias Selatan,Kabupaten,2
46,Nias Utara,Kabupaten,2
47,Padang Lawas,Kabupaten,2
48,Padang Lawas Utara,Kabupaten,2
49,Pakpak Bharat,Kabupaten,2
50,Samosir,Kabupaten,2
51,Serdang Bedagai,Kabupaten,2
52,Simalungun,Kabupaten,2
53,Tapanuli Selatan,Kabupaten,2
54,Tapanuli Tengah,Kabupaten,2
55,Tapanuli Utara,Kabupaten,2
56,Toba Samosir,Kabupaten,2
57,Bukittinggi,Kota,3
58,Padang,Kota,3
59,Padang Panjang,Kota,3
60,Pariaman,Kota,3
61,Payakumbuh,Kota,3
62,Sawahlunto,Kota,3
63,Solok,Kota,3
64,Agam,Kabupaten,3
65,Dharmasraya,Kabupaten,3
66,Kepulauan Mentawai,Kabupaten,3
67,Lima Puluh Kota,Kabupaten,3
68,Padang Pariaman,Kabupaten,3
69,Pasaman,Kabupaten,3
70,Pasaman Barat,Kabupaten,3
71,Pesisir Selatan,Kabupaten,3
72,Sijunjung,Kabupaten,3
73,Solok,Kabupaten,3
74,Solok Selatan,Kabupaten,3
75,Tanah Datar,Kabupaten,3
76,Dumai,Kota,4
77,Pekanbaru,Kota,4
78,Bengkalis,Kabupaten,4
79,Indragiri Hilir,Kabupaten,4
80,Indragiri Hulu,Kabupaten,4
81,Kampar,Kabupaten,4
82,Kepulauan Meranti,Kabupaten,4
83,Kuantan Singingi,Kabupaten,4
84,Pelalawan,Kabupaten,4
85,Rokan Hilir,Kabupaten,4
86,Rokan Hulu,Kabupaten,4
87,Siak,Kabupaten,4
88,Sungai Penuh,Kota,5
89,Jambi,Kota,5
90,Batanghari,Kabupaten,5
91,Bungo,Kabupaten,5
92,Kerinci,Kabupaten,5
93,Merangin,Kabupaten,5
94,Muaro Jambi,Kabupaten,5
95,Sarolangun,Kabupaten,5
96,Tanjung Jabung Barat,Kabupaten,5
97,Tanjung Jabung Timur,Kabupaten,5
98,Tebo,Kabupaten,5
99,Lubuklinggau,Kota,6
100,Pagar Alam,Kota,6
101,Palembang,Kota,6
102,Prabumulih,Kota,6
103,Banyuasin,Kabupaten,6
104,Empat Lawang,Kabupaten,6
105,Lahat,Kabupaten,6
106,Muara Enim,Kabupaten,6
107,Musi Banyuasin,Kabupaten,6
108,Musi Rawas,Kabupaten,6
109,Musi Rawas Utara,Kabupaten,6
110,Ogan Ilir,Kabupaten,6
111,Ogan Komering Ilir,Kabupaten,6
112,Ogan Komering Ulu,Kabupaten,6
113,Ogan Komering Ulu Selatan,Kabupaten,6
114,Ogan Komering Ulu Timur,Kabupaten,6
115,Penukal Abab Lematang Ilir,Kabupaten,6
116,Bengkulu,Kota,7
117,Bengkulu Selatan,Kabupaten,7
118,Bengkulu Tengah,Kabupaten,7
119,Bengkulu Utara,Kabupaten,7
120,Kaur,Kabupaten,7
121,Kepahiang,Kabupaten,7
122,Lebong,Kabupaten,7
123,Mukomuko,Kabupaten,7
124,Rejang Lebong,Kabupaten,7
125,Seluma,Kabupaten,7
126,Bandar Lampung,Kota,8
127,Metro,Kota,8
128,Lampung Barat,Kabupaten,8
129,Lampung Selatan,Kabupaten,8
130,Lampung Tengah,Kabupaten,8
131,Lampung Timur,Kabupaten,8
132,Lampung Utara,Kabupaten,8
133,Mesuji,Kabupaten,8
134,Pesawaran,Kabupaten,8
135,Pesisir Barat,Kabupaten,8
136,Pringsewu,Kabupaten,8
137,Tanggamus,Kabupaten,8
138,Tulang Bawang,Kabupaten,8
139,Tulang Bawang Barat,Kabupaten,8
140,Way Kanan,Kabupaten,8
