id_daerah_magang,nama_daerah,jenis_daerah,id_provinsi,latitude,longitude
1,Banda Aceh,Kota,1,5.5528460,95.3192910
2,Langsa,Kota,1,4.4715890,97.9737530
3,Lhokseumawe,Kota,1,5.1789660,97.1480540
4,Sabang,Kota,1,5.8927450,95.3225750
5,Subulussalam,Kota,1,2.6403150,98.0052460
6,Aceh Barat,Kabupaten,1,4.4422520,96.192983
7,Aceh Barat Daya,Kabupaten,1,3.8335900,96.8516150
8,Aceh Besar,Kabupaten,1,5.3542490,95.4961510
9,Aceh Jaya,Kabupaten,1,4.8114840,95.7001920
10,Aceh Selatan,Kabupaten,1,3.067979,97.4687720
11,Aceh Singkil,Kabupaten,1,2.3758790,97.9244300
12,Aceh Tamiang,Kabupaten,1,4.2122620,97.9147110
13,Aceh Tengah,Kabupaten,1,4.564267,96.9618930
14,Aceh Tenggara,Kabupaten,1,3.338797,97.7456420
15,Aceh Timur,Kabupaten,1,4.701663,97.645039
16,Aceh Utara,Kabupaten,1,4.991194,97.1587370
17,Bener Meriah,Kabupaten,1,4.7738800,96.9780040
18,Bireuen,Kabupaten,1,5.0827400,96.5921210
19,Gayo Lues,Kabupaten,1,3.9775990,97.3320680
20,Nagan Raya,Kabupaten,1,4.181243,96.5257730
21,Pidie,Kabupaten,1,5.1143000,95.9412830
22,Pidie Jaya,Kabupaten,1,5.1047710,96.2116680
23,Simeulue,Kabupaten,1,2.6290310,96.0220780
24,Medan,Kota,2,3.5731320,98.6887330
25,Binjai,Kota,2,3.6063960,98.4899870
26,Gunungsitoli,Kota,2,1.2900570,97.6150770
27,Padang Sidempuan,Kota,2,1.372696,99.2727170
28,Pematangsiantar,Kota,2,2.9588630,99.0653650
29,Sibolga,Kota,2,1.736957,98.78461
30,Tanjungbalai,Kota,2,2.9703420,99.8020900
31,Tebing Tinggi,Kota,2,3.3273690,99.1623020
32,Asahan,Kabupaten,2,3.1127640,99.9416920
33,Batubara,Kabupaten,2,3.1718940,99.4210580
34,Dairi,Kabupaten,2,2.8353210,98.2845020
35,Deli Serdang,Kabupaten,2,3.6952430,98.8310740
36,Humbang Hasundutan,Kabupaten,2,2.247581,98.6010200
37,Karo,Kabupaten,2,3.0998750,98.3369710
38,Labuhanbatu,Kabupaten,2,2.111473,99.8240060
39,Labuhanbatu Selatan,Kabupaten,2,1.892887,100.092074
40,Labuhanbatu Utara,Kabupaten,2,2.5629570,99.6581180
41,Langkat,Kabupaten,2,3.8293860,98.2483500
42,Mandailing Natal,Kabupaten,2,0.7456760,99.2188580
43,Nias,Kabupaten,2,0.0680550,98.2622390
44,Nias Barat,Kabupaten,2,0.8964870,97.3433270
45,Nias Selatan,Kabupaten,2,0.0680550,98.2622390
46,Nias Utara,Kabupaten,2,1.3747560,97.1445690
47,Padang Lawas,Kabupaten,2,1.6364050,99.6910370
48,Padang Lawas Utara,Kabupaten,2,1.6364050,99.6910370
49,Pakpak Bharat,Kabupaten,2,2.5298820,98.2678580
50,Samosir,Kabupaten,2,2.5446950,98.5719140
51,Serdang Bedagai,Kabupaten,2,3.5931150,99.1583310
52,Simalungun,Kabupaten,2,2.9505160,98.7835310
53,Tapanuli Selatan,Kabupaten,2,1.5510870,99.2117570
54,Tapanuli Tengah,Kabupaten,2,1.8231280,98.2797680
55,Tapanuli Utara,Kabupaten,2,1.9980600,99.0647660
56,Toba Samosir,Kabupaten,2,2.6282480,98.7332920
57,Bukittinggi,Kota,3,-0.3051950,100.3694920
58,Padang,Kota,3,-0.9247590,100.3632560
59,Padang Panjang,Kota,3,-0.4654640,100.3932440
60,Pariaman,Kota,3,-0.6263890,100.1177780
61,Payakumbuh,Kota,3,-0.2242690,100.6319420
62,Sawahlunto,Kota,3,-0.6818140,100.778552
63,Solok,Kota,3,-0.7991170,100.6529830
64,Agam,Kabupaten,3,-0.2547210,100.1700310
65,Dharmasraya,Kabupaten,3,-1.25863,101.5799060
66,Kepulauan Mentawai,Kabupaten,3,-1.3587820,98.8950050
67,Lima Puluh Kota,Kabupaten,3,0.0278550,100.5913080
68,Padang Pariaman,Kabupaten,3,-0.5690920,100.2770260
69,Pasaman,Kabupaten,3,0.1875380,99.6935160
70,Pasaman Barat,Kabupaten,3,0.1875380,99.6935160
71,Pesisir Selatan,Kabupaten,3,-1.7185790,100.9270250
72,Sijunjung,Kabupaten,3,-0.6964420,100.9936300
73,Solok,Kabupaten,3,-0.93103,100.804328
74,Solok Selatan,Kabupaten,3,-1.5573290,101.239478
75,Tanah Datar,Kabupaten,3,-0.468996,100.6361600
76,Dumai,Kota,4,1.6806810,101.4450200
77,Pekanbaru,Kota,4,0.5203350,101.4479580
